Question, Answer
핸드폰은 비행기 모드를 킨 상태로 와이파이 연결이 가능하다, O
항공기 이착륙 중에는 핸드폰 사용이 금지된다, O
이착륙시 창문 덮개를 닫아 놓아야한다, X
낮에 이륙하면 이륙시에 창문을 닫아도 된다, X
이착륙시 테이블을 펼쳐 놓으면 안된다, O
안전벨트 착용은 이륙 및 착륙 중에만 필요하다, X
좌석이 비상 탈출구 옆이라고 하여도 짐이 있다면 바닥에 놓아도 된다, X
충격 방지 자세는 발목을 잡고 머리와 몸통을 숙이면 된다, O
아이나 노약자의 구명 조끼와 산소마스크착용을 도와준 후 자신도 착용하도록 한다, X
구명조끼는 비행기 안에서 부풀여야 한다, X
구명조끼를 입어야하는 상황이 오면 구명조끼를 입고 바로 바람을 부풀린다, X
비상탈출구는 비상상황에서만 사용해야 된다, O
탈출 상황에서 귀중품이 든 핸드백 정도는 가지고 내려도 된다, X
비상 탈출시 승객이 슬라이드 탑승을 무서워한다면 승무원은 함께 내려가줄 수 있다, X
슬라이드를 내려갈 때는 날카로운 물건을 놓고 내려야 한다, O