Key,Id,Shared Comment,English(en),English(en) Comments,Korean(ko),Korean(ko) Comments
"tutorial_script1",20111368192,"","Hello. I'm a studious who will educate passenger.","","안녕하세요. 저는 승객 교육을 진행할 스튜디어스입니다.",""
"tutorial_script2",59541265522688,"","First, we will proceed with a VR virtual reality training tutorial.","","먼저, VR 가상현실 교육 튜토리얼을 진행하겠습니다.",""
"tutorial_script3",61153342070784,"","We use the VR controller as follows.","","저희는 VR 컨트롤러를 다음과 같이 사용합니다.",""
"tutorial_script4",62112763944960,"","For objects marked with blue [GRAB], press and hold the grab key on your controller.","","파란색 [GRAB]으로 표시되는 오브젝트는 컨트롤러의 잡기 키를 꾹 눌러주세요.",""
"tutorial_script5",62621130366976,"","For objects marked with green [DROP], release the grab key.","","초록색 [DROP]으로 표시되는 오브젝트는 누르고 있던 잡기 키를 놓아주세요.","""tutorial_script6",62912076652544,"","For objects marked with a yellow [TRIGGER], press the button above the grab key.","","노란색 [TRIGGER]으로 표시되는 오브젝트는 잡기 키 위에 있는 버튼을 눌러주세요.",""
"tutorial_script7",63148840919040,"","So, are you ready to start practicing?","","그럼, 연습을 시작할 준비가 되셨나요?",""
"grabScript",63658356580352,"","Hold grab button","","잡기 버튼 누르기 유지",""
"dropScript",74272869130240,"","Release grab button","","잡기 버튼 떼기",""
"triggerScript",74299842699264,"","Press Trigger Button","","상호작용 키 누르기",""
"New Entry",90756643233792,"",,,,,90756643233792,"",,,,